tech,window,time,device,dtype,vd,vg,vs,vb,vgs,vds,vbs,clamp_class,nn_id,nn_qg,nn_qd,nn_qs,nn_qb,nn_cgg,nn_cgd,nn_cgs,nn_cdg,nn_cdd,os_id,os_qg,os_qd,os_qs,os_qb,os_cgg,os_cgd,os_cgs,os_cdg,os_cdd
TSMC7,SAMPLE,2.225e-09,Mpc,pmos,0.0016071373516562681,0.7999999999999982,0.75,0.75,0.04999999999999816,-0.7483928626483437,0.0,FREE,2.1205210957946185e-07,1.9845828781291475e-17,-1.5170894942833254e-17,-4.9849931979912994e-18,3.100593595330785e-19,2.8732112864193614e-17,-1.1728906827657461e-17,1.1867856136849595e-18,-1.1169689889240345e-17,1.1709413743321065e-17,-0.0,2.2251535303446236e-17,-1.611012668587212e-17,-6.302359798606198e-18,1.6095118103208276e-19,2.8737444306576896e-17,-1.1435314512718315e-17,-1.5676129794115507e-17,-1.143543010072195e-17,1.1435317419892262e-17
TSMC7,SAMPLE,2.225e-09,Mpt,pmos,0.4499999999999989,0.0016071373516562681,0.4716082531004333,0.75,-0.470001115748777,-0.021608253100434405,0.2783917468995667,NEAR0,1.8673964328749781e-06,-2.6857472711733308e-17,1.2112880158170937e-17,1.3286721678268166e-17,1.457870875294206e-18,1.6998669979843318e-16,-7.576141706187221e-17,-2.193616145441129e-18,-8.369556344475828e-17,6.231562860550705e-17,4.417166687975538e-06,-2.7146675561025613e-17,1.2370671516223642e-17,1.3316866088814748e-17,1.4591379559872246e-18,1.6999390801772159e-16,-8.006943400696318e-17,-8.829849674346336e-17,-8.370558671003486e-17,6.159059185863996e-17
TSMC7,SAMPLE,2.23e-09,Mnc,nmos,0.0016071315681495668,0.8000000000000019,0.0,0.0,0.8000000000000019,0.0016071315681495668,0.0,NEAR0,-2.10266368113469e-07,8.5387551739107e-17,-4.1601176302933835e-17,-4.1930161742688076e-17,-1.8562136934850934e-18,1.7307631724408193e-16,-6.919180285744957e-17,1.2262518512620838e-17,-8.536058467694346e-17,5.996586419543389e-17,-1.6466012978024608e-06,8.552305874417978e-17,-4.181340516516464e-17,-4.188146266090379e-17,-1.828190918111356e-18,1.7260046087462485e-16,-8.519483141118721e-17,-8.538282945926908e-17,-8.528406909524865e-17,6.376827724397145e-17
TSMC7,SAMPLE,2.23e-09,Mnt,nmos,0.44999999999999735,0.8000000000000019,0.47151531748256725,0.0,0.3284846825174347,-0.021515317482569907,-0.47151531748256725,REV,0.0,1.397472007572455e-17,-6.279355067157794e-18,-5.910631457816048e-18,-1.78473355075071e-18,1.235293565056821e-16,-5.965724715133419e-17,2.4090114527794266e-18,-6.173625101597663e-17,4.972176041505397e-17,3.3634856566600035e-06,1.4196449817493818e-17,-6.549405474173186e-18,-5.8188532710138555e-18,-1.8281910723067762e-18,1.2628079350052349e-16,-6.719959756186512e-17,-5.705838587800008e-17,-6.267911288628694e-17,5.063353613698001e-17
TSMC7,SAMPLE,2.23e-09,Mpc,pmos,0.0016071315681495668,0.8000000000000019,0.7500000000000004,0.7500000000000004,0.05000000000000149,-0.7483928684318508,0.0,FREE,2.120521095794635e-07,1.9845828781291475e-17,-1.5170894942833254e-17,-4.9849931979912994e-18,3.100593595330785e-19,2.8732112864193614e-17,-1.1728906827657461e-17,1.1867856136849595e-18,-1.1169689889240345e-17,1.1709413743321065e-17,-0.0,2.2251535369582563e-17,-1.61101267520084e-17,-6.30235979860624e-18,1.6095118103207816e-19,2.873744428920239e-17,-1.1435314495343133e-17,-1.5676129794116182e-17,-1.1435430083346873e-17,1.1435317402517088e-17
TSMC7,SAMPLE,2.23e-09,Mpt,pmos,0.44999999999999735,0.0016071315681495668,0.47151531748256725,0.7500000000000004,-0.4699081859144177,-0.021515317482569907,0.2784846825174332,NEAR0,1.8536322834091879e-06,-2.6848531198490095e-17,1.2110598942944376e-17,1.3280056656661805e-17,1.4578755988839157e-18,1.6998073791864495e-16,-7.569759439326626e-17,-2.193365678993515e-18,-8.369436378540071e-17,6.230708153968414e-17,4.397187003402081e-06,-2.7138471613592792e-17,1.2368617266890207e-17,1.3310716381296579e-17,1.459137965406006e-18,1.6998492634350423e-16,-8.008508600091517e-17,-8.827386277652544e-17,-8.370306001180728e-17,6.159963603108461e-17
TSMC7,SAMPLE,2.235e-09,Mnc,nmos,0.0016071707365476473,0.7999999999999982,0.0,0.0,0.7999999999999982,0.0016071707365476473,0.0,NEAR0,-2.1027140167889346e-07,8.5387551739107e-17,-4.1601176302933835e-17,-4.1930161742688076e-17,-1.8562136934850934e-18,1.7307631724408193e-16,-6.919180285744957e-17,1.2262518512620838e-17,-8.536058467694346e-17,5.996586419543389e-17,-1.6466413853104267e-06,8.552305540723412e-17,-4.181340266746138e-17,-4.1881461821661383e-17,-1.8281909181113556e-18,1.7260046017746474e-16,-8.519482869764714e-17,-8.538283147564871e-17,-8.528406863032498e-17,6.37682757478984e-17
TSMC7,SAMPLE,2.235e-09,Mnt,nmos,0.44999999999999896,0.7999999999999982,0.47142306529390954,0.0,0.3285769347060886,-0.02142306529391058,-0.47142306529390954,REV,0.0,1.3980795649949436e-17,-6.280786893132324e-18,-5.9153673542811835e-18,-1.7846414025359277e-18,1.235474324565179e-16,-5.964476234238213e-17,2.410290266011864e-18,-6.173946985088903e-17,4.9704259332454534e-17,3.351154631570097e-06,1.4201715224812842e-17,-6.550517289211399e-18,-5.823006863309195e-18,-1.828191072292249e-18,1.2629497883970746e-16,-6.717809872006809e-17,-5.709407018285626e-17,-6.26836291457573e-17,5.062537475409603e-17
TSMC7,SAMPLE,2.235e-09,Mpc,pmos,0.0016071707365476473,0.7999999999999982,0.75,0.75,0.04999999999999816,-0.7483928292634523,0.0,FREE,2.1205210957945243e-07,1.9845828781291475e-17,-1.5170894942833254e-17,-4.9849931979912994e-18,3.100593595330785e-19,2.8732112864193614e-17,-1.1728906827657461e-17,1.1867856136849595e-18,-1.1169689889240345e-17,1.1709413743321065e-17,-0.0,2.2251534921679515e-17,-1.6110126304105292e-17,-6.3023597986063015e-18,1.6095118103207806e-19,2.873744440686997e-17,-1.1435314613015286e-17,-1.5676129794111612e-17,-1.1435430201018426e-17,1.1435317520189196e-17
TSMC7,SAMPLE,2.235e-09,Mpt,pmos,0.44999999999999896,0.0016071707365476473,0.47142306529390954,0.75,-0.4698158945573619,-0.02142306529391058,0.27857693470609046,NEAR0,1.8400312464593917e-06,-2.683959882577483e-17,1.2108313447900544e-17,1.3273402693605809e-17,1.4578826842684787e-18,1.6997469256730199e-16,-7.563334129330818e-17,-2.193120178121005e-18,-8.369314640590121e-17,6.229806257187799e-17,4.377360973695232e-06,-2.713032262632208e-17,1.2366575428121573e-17,1.330460929646763e-17,1.4591379017328795e-18,1.6997599203361004e-16,-8.010059608981574e-17,-8.824941808372834e-17,-8.370054302754073e-17,6.160859446658782e-17
TSMC7,SAMPLE,2.2399999999999997e-09,Mnc,nmos,0.001607170346854342,0.8000000000000019,0.0,0.0,0.8000000000000019,0.001607170346854342,0.0,NEAR0,-2.10271351599084e-07,8.5387551739107e-17,-4.1601176302933835e-17,-4.1930161742688076e-17,-1.8562136934850934e-18,1.7307631724408193e-16,-6.919180285744957e-17,1.2262518512620838e-17,-8.536058467694346e-17,5.996586419543389e-17,-1.6466409863240272e-06,8.552305544043459e-17,-4.181340269231178e-17,-4.188146183001145e-17,-1.828190918111363e-18,1.7260046018440102e-16,-8.519482872464471e-17,-8.538283145558742e-17,-8.528406863495069e-17,6.376827576278315e-17
TSMC7,SAMPLE,2.2399999999999997e-09,Mnt,nmos,0.4499999999999974,0.8000000000000019,0.47133148916141077,0.0,0.32866851083859117,-0.021331489161413364,-0.47133148916141077,REV,0.0,1.398687860509357e-17,-6.282224076026928e-18,-5.920105274745479e-18,-1.7845492543211615e-18,1.2356543915489017e-16,-5.963480527022165e-17,2.411508753317851e-18,-6.17426725683449e-17,4.968598503562473e-17,3.338896104043698e-06,1.4206945299101344e-17,-6.55162211259193e-18,-5.827132114231573e-18,-1.8281910722778426e-18,1.2630905090207724e-16,-6.715679499466095e-17,-5.71294460926709e-17,-6.268810953643434e-17,5.061728368925614e-17
TSMC7,SAMPLE,2.2399999999999997e-09,Mpc,pmos,0.001607170346854342,0.8000000000000019,0.7500000000000004,0.7500000000000004,0.05000000000000149,-0.7483928296531461,0.0,FREE,2.1205210957945256e-07,1.9845828781291475e-17,-1.5170894942833254e-17,-4.9849931979912994e-18,3.100593595330785e-19,2.8732112864193614e-17,-1.1728906827657461e-17,1.1867856136849595e-18,-1.1169689889240345e-17,1.1709413743321065e-17,-0.0,2.2251534926135877e-17,-1.61101263085616e-17,-6.3023597986063485e-18,1.609511810320727e-19,2.873744440569921e-17,-1.1435314611844534e-17,-1.5676129794111606e-17,-1.143543019984767e-17,1.1435317519018447e-17
TSMC7,SAMPLE,2.2399999999999997e-09,Mpt,pmos,0.4499999999999974,0.001607170346854342,0.47133148916141077,0.7500000000000004,-0.46972431881455645,-0.021331489161413364,0.2786685108385897,NEAR0,1.8265720795453908e-06,-2.68307471928638e-17,1.2106051675911668e-17,1.3266805747299089e-17,1.4578897696530436e-18,1.6996874739650875e-16,-7.556913032697849e-17,-2.1928786176192155e-18,-8.369192938850009e-17,6.228862358875441e-17,4.357688876410748e-06,-2.712224226258301e-17,1.236455288618173e-17,1.3298551474020178e-17,1.4591379023811028e-18,1.6996712321203476e-16,-8.011597638794885e-17,-8.822516867469195e-17,-8.369804521274727e-17,6.16174754504046e-17
