region,tech,device,dtype,vgs_V,vds_V,vbs_V,id_raw_nn_A,id_postclamp_A,id_osdi_A,ratio_raw_over_osdi,sign_match
corridor,TSMC5,Mnr,nmos,0.26,-0.10931818181818183,0.0,2.6893985811122898e-06,0.0,3.638807630212959e-06,0.7390878700985065,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.09218181818181818,0.0,1.7633550845101271e-06,0.0,2.3707791146909685e-06,0.7437871683545605,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.07504545454545454,0.0,1.0214892304170443e-06,0.0,1.4631306582968406e-06,0.6981531175118088,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.0579090909090909,0.0,5.079571449927163e-07,0.0,8.447232427433171e-07,0.6013296654926628,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.040772727272727266,0.0,1.635536884771077e-07,0.0,4.4268792798174417e-07,0.3694559488503884,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.023636363636363646,0.0,-3.7797071685357495e-07,-0.0,1.9144130725123887e-07,1.9743425401788726,n
corridor,TSMC5,Mnr,nmos,0.26,-0.006500000000000001,0.0,-4.007256954181684e-07,-0.0,3.9441233265491427e-08,10.160070115474252,n
corridor,TSMC5,Mnr,nmos,0.39,-0.195,0.0,3.678556878421142e-05,0.0,5.180879814048467e-05,0.7100255189179205,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.17786363636363636,0.0,3.3596803256252964e-05,0.0,4.58851685258832e-05,0.7321930884333891,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.16072727272727272,0.0,3.0188227679883915e-05,0.0,4.010254839315053e-05,0.7527757932969674,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.14359090909090907,0.0,2.661513006980219e-05,0.0,3.447933652478419e-05,0.7719153775093931,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.12645454545454543,0.0,2.294004752532082e-05,0.0,2.9043695920494272e-05,0.7898460164339313,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.10931818181818183,0.0,1.9229693371581557e-05,0.0,2.384011392464469e-05,0.8066108002824133,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.09218181818181818,0.0,1.5555713037931897e-05,0.0,1.8930548434381578e-05,0.8217254292368878,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.07504545454545454,0.0,1.19999849010456e-05,0.0,1.438450732138552e-05,0.8342298163528452,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.0579090909090909,0.0,8.651561949119425e-06,0.0,1.0263919276998212e-05,0.8429101706311999,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.040772727272727266,0.0,5.559391289095146e-06,0.0,6.615852712887893e-06,0.8403136421500548,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.023636363636363646,0.0,2.558342588353169e-06,0.0,3.4722179888257987e-06,0.7368035637700053,Y
corridor,TSMC5,Mnr,nmos,0.39,-0.006500000000000001,0.0,9.929268933550214e-08,0.0,8.528765480311784e-07,0.11642093989419008,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.195,0.0,7.19473031034225e-05,0.0,9.20991222452816e-05,0.7811942323598907,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.17786363636363636,0.0,6.724438161556405e-05,0.0,8.484380162321337e-05,0.7925668148887604,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.16072727272727272,0.0,6.2004469553634e-05,0.0,7.744350491445395e-05,0.8006413142344951,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.14359090909090907,0.0,5.6257137897601954e-05,0.0,6.9848762024316e-05,0.8054135287038805,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.12645454545454543,0.0,5.005186159323686e-05,0.0,6.199176819099428e-05,0.8073952889846435,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.10931818181818183,0.0,4.345405231425753e-05,0.0,5.379943102123974e-05,0.8077046818042014,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.09218181818181818,0.0,3.65417114183621e-05,0.0,4.523996630090288e-05,0.8077307391281769,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.07504545454545454,0.0,2.9406195056533838e-05,0.0,3.6397020494738364e-05,0.8079286341799562,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.0579090909090909,0.0,2.2152324209308825e-05,0.0,2.7489946444192448e-05,0.8058336619272951,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.040772727272727266,0.0,1.4847108910762477e-05,0.0,1.8782668961825344e-05,0.7904685399576781,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.023636363636363646,0.0,7.27484264710183e-06,0.0,1.048619911736548e-05,0.6937540061636307,Y
corridor,TSMC5,Mnr,nmos,0.52,-0.006500000000000001,0.0,-2.7774212909959497e-07,-0.0,2.7565432983087113e-06,0.10075739759647702,n
corridor,TSMC5,Mnr,nmos,0.65,-0.195,0.0,0.00010397254715739403,0.0,0.00012989795908358026,0.800417095779734,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.17786363636363636,0.0,9.8045229917367e-05,0.0,0.00012154750547721527,0.8066412349017407,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.16072727272727272,0.0,9.124371520396309e-05,0.0,0.00011272162761533089,0.8094605900771552,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.14359090909090907,0.0,8.355165246819221e-05,0.0,0.00010330752592269121,0.8087663674253216,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.12645454545454543,0.0,7.499427473803906e-05,0.0,9.316003615755797e-05,0.8050047835018456,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.10931818181818183,0.0,6.564701485031479e-05,0.0,8.212584502731435e-05,0.7993465982417735,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.09218181818181818,0.0,5.563663150097483e-05,0.0,7.012950699325504e-05,0.7933412608522384,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.07504545454545454,0.0,4.513694974100195e-05,0.0,5.7302979694640044e-05,0.787689400822274,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.0579090909090909,0.0,3.434032643111335e-05,0.0,4.399805925148215e-05,0.7804963904165054,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.040772727272727266,0.0,2.333703334306291e-05,0.0,3.061010618587989e-05,0.7623963537188914,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.023636363636363646,0.0,1.176699171330305e-05,0.0,1.7436562950445822e-05,0.674845825220514,Y
corridor,TSMC5,Mnr,nmos,0.65,-0.006500000000000001,0.0,-2.0203650491508077e-08,-0.0,4.688951017392529e-06,0.004308778320901098,n
corridor,TSMC5,Mpr,pmos,-0.13,0.195,0.0,-2.547839322733873e-10,-0.0,-2.967108780893568e-07,0.000858694274756779,Y
corridor,TSMC5,Mpr,pmos,-0.13,0.17786363636363636,0.0,2.5368222532838427e-08,0.0,-1.6475981690078356e-07,0.15397093180866347,n
corridor,TSMC5,Mpr,pmos,-0.13,0.16072727272727272,0.0,3.540695633397121e-08,0.0,-8.980458043872375e-08,0.3942667084573753,n
corridor,TSMC5,Mpr,pmos,-0.13,0.14359090909090907,0.0,3.746484199990695e-08,0.0,-4.833242139845595e-08,0.7751492872878043,n
corridor,TSMC5,Mpr,pmos,-0.13,0.12645454545454543,0.0,3.973485257770046e-08,0.0,-2.5779489654098597e-08,1.5413358879811319,n
corridor,TSMC5,Mpr,pmos,-0.13,0.10931818181818183,0.0,4.5528339095168646e-08,0.0,-1.364676427417777e-08,3.3362003021710267,n
corridor,TSMC5,Mpr,pmos,-0.13,0.09218181818181818,0.0,5.266344786122257e-08,0.0,-7.162478943278927e-09,7.352684493493764,n
corridor,TSMC5,Mpr,pmos,-0.13,0.07504545454545454,0.0,6.097488816092446e-08,0.0,-3.7100322813898856e-09,16.435136822605084,n
